epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.794,0.56531,1.47287,1.02551,1,0.69092,0.86606,0.82182,0.37822,2.54279,0.89185,0.00062,0.00062,0.00062
2,531.787,0.28237,0.76082,0.86819,1,0.9922,0.995,0.93907,0.33512,0.83757,0.83913,0.00123505,0.00123505,0.00123505
3,921.706,0.30203,0.61094,0.85835,0.99931,1,0.995,0.98098,0.28146,0.69418,0.82638,0.00182476,0.00182476,0.00182476
4,1190.52,0.29856,0.52618,0.86559,1,0.99954,0.995,0.96867,0.27847,0.72815,0.82723,0.0018812,0.0018812,0.0018812
5,1435.14,0.28157,0.44758,0.85312,0.99959,1,0.995,0.99355,0.24468,0.45341,0.81909,0.0018416,0.0018416,0.0018416
6,1699.74,0.25072,0.39781,0.85691,0.99958,1,0.995,0.98426,0.28611,0.4217,0.82315,0.001802,0.001802,0.001802
7,1942.61,0.23641,0.3577,0.84964,0.99937,1,0.995,0.99266,0.18446,0.30368,0.81036,0.0017624,0.0017624,0.0017624
8,4043.65,0.22505,0.31706,0.83547,0.99963,1,0.995,0.995,0.22545,0.29278,0.81399,0.0017228,0.0017228,0.0017228
9,4542.6,0.23499,0.306,0.84226,0.99963,1,0.995,0.995,0.17824,0.25196,0.81282,0.0016832,0.0016832,0.0016832
10,5080.84,0.21204,0.28042,0.84228,0.99963,1,0.995,0.995,0.13513,0.23387,0.80711,0.0016436,0.0016436,0.0016436
11,5814.71,0.19512,0.26582,0.85425,0.99962,1,0.995,0.995,0.17019,0.22977,0.81338,0.001604,0.001604,0.001604
12,6620.51,0.20642,0.26228,0.83644,0.99965,1,0.995,0.99496,0.17838,0.23242,0.80954,0.0015644,0.0015644,0.0015644
13,7208.86,0.19642,0.24613,0.84651,0.99965,1,0.995,0.995,0.12195,0.16201,0.80667,0.0015248,0.0015248,0.0015248
